Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,220.570007,223.419998,220.029999,221.789993,219.919617,1698200
2021-09-21,221.979996,222.800003,219.160004,219.550003,217.698517,1226900
2021-09-22,220.029999,220.429993,217.160004,219.020004,217.172989,1386700
2021-09-23,219.660004,220.460007,218.320007,218.360001,216.518555,855400
2021-09-24,217.839996,218.270004,216.250000,217.710007,215.874039,1135400
2021-09-27,216.850006,218.949997,216.289993,216.759995,214.932037,1044900
2021-09-28,215.119995,216.690002,214.029999,215.199997,213.385208,1461300
2021-09-29,215.440002,219.270004,215.440002,216.970001,215.140289,1148000
2021-09-30,216.000000,216.669998,212.100006,212.139999,210.351013,1817300
2021-10-01,212.100006,212.279999,208.289993,209.210007,207.445724,1583300
2021-10-04,208.330002,209.070007,204.770004,206.190002,204.862473,1499800
2021-10-05,206.940002,207.440002,205.089996,205.610001,204.286194,1301500
2021-10-06,205.000000,207.339996,203.800003,207.119995,205.786469,1140400
2021-10-07,207.820007,211.289993,207.820007,210.830002,209.472580,1347500
2021-10-08,210.830002,211.380005,209.160004,210.399994,209.045349,918100
2021-10-11,209.679993,211.320007,209.679993,209.789993,208.439255,1209100
2021-10-12,210.479996,211.289993,207.589996,208.259995,206.919128,1771000
2021-10-13,207.949997,211.130005,207.850006,209.399994,208.051773,1159400
2021-10-14,209.970001,214.119995,209.500000,212.800003,211.429901,1216600
2021-10-15,213.830002,214.639999,212.669998,212.800003,211.429901,991400
2021-10-18,212.300003,214.000000,211.250000,213.699997,212.324097,994500
2021-10-19,213.759995,214.600006,212.490005,213.789993,212.413528,858200
2021-10-20,214.479996,216.710007,213.759995,215.229996,213.844238,1080600
2021-10-21,215.779999,219.690002,215.029999,218.940002,217.530365,1144500
2021-10-22,219.789993,221.699997,218.679993,220.309998,218.891556,893300
2021-10-25,220.279999,223.360001,219.009995,222.490005,221.057510,798400
2021-10-26,223.279999,223.279999,221.179993,221.529999,220.103683,925600
2021-10-27,221.570007,221.979996,219.630005,220.369995,218.951157,1037700
2021-10-28,220.759995,221.830002,220.240005,220.919998,219.497620,819700
2021-10-29,220.169998,222.729996,219.649994,221.520004,220.093765,811400
2021-11-01,222.210007,222.479996,219.520004,220.470001,219.050522,870000
2021-11-02,220.779999,222.600006,219.679993,221.839996,220.411697,1100000
2021-11-03,221.100006,224.000000,219.899994,223.720001,222.279602,1237900
2021-11-04,224.190002,228.250000,223.770004,226.210007,224.753571,1543700
2021-11-05,227.320007,227.960007,223.899994,225.630005,224.177307,958300
2021-11-08,223.300003,225.460007,217.570007,220.929993,219.507538,1891600
2021-11-09,219.289993,222.500000,218.869995,220.179993,218.762375,869700
2021-11-10,219.830002,221.520004,218.679993,220.770004,219.348602,740300
2021-11-11,220.990005,222.029999,220.320007,221.279999,219.855301,1001200
2021-11-12,222.600006,225.690002,221.820007,225.000000,223.551346,1370300
2021-11-15,227.979996,231.729996,225.580002,227.000000,225.538467,1794200
2021-11-16,227.000000,231.399994,227.000000,230.330002,228.847031,1693400
2021-11-17,228.380005,228.500000,220.360001,222.880005,221.445007,2383400
2021-11-18,224.059998,224.059998,220.529999,222.339996,220.908478,1779700
2021-11-19,222.830002,226.039993,222.399994,224.550003,223.104248,1794500
2021-11-22,226.000000,229.160004,223.559998,225.960007,224.505173,1627300
2021-11-23,226.089996,226.729996,222.899994,225.139999,223.690445,1163700
2021-11-24,224.119995,225.339996,222.179993,223.429993,221.991455,956800
2021-11-26,222.639999,226.449997,222.330002,224.419998,222.975098,998000
2021-11-29,225.000000,228.669998,223.130005,225.070007,223.620895,1794500
2021-11-30,223.089996,225.369995,220.820007,221.300003,219.875183,3072900
2021-12-01,221.309998,228.449997,221.309998,222.789993,221.355560,3450200
2021-12-02,218.139999,221.610001,211.449997,215.809998,214.420517,3452900
2021-12-03,217.080002,223.990005,214.809998,222.000000,220.570648,3111400
2021-12-06,221.710007,230.210007,221.369995,225.529999,224.077942,2316300
2021-12-07,226.610001,226.970001,220.449997,224.500000,223.054581,1611300
2021-12-08,225.160004,225.289993,218.029999,221.410004,219.984467,2151300
2021-12-09,221.440002,222.889999,219.479996,222.330002,220.898544,1262100
2021-12-10,222.509995,224.210007,221.300003,222.399994,220.968094,1397800
2021-12-13,221.869995,226.850006,221.630005,226.000000,224.544907,1949500
2021-12-14,224.949997,226.770004,224.059998,225.449997,223.998459,1708600
2021-12-15,225.250000,226.449997,223.000000,226.119995,224.664124,1570100
2021-12-16,226.270004,226.500000,222.759995,225.660004,224.207108,1362600
2021-12-17,226.389999,226.809998,221.029999,222.500000,221.067444,3492200
2021-12-20,220.710007,221.320007,215.929993,220.399994,218.980957,2155300
2021-12-21,219.869995,222.050003,217.919998,221.720001,220.292465,1142500
2021-12-22,221.649994,221.910004,219.100006,220.220001,218.802124,1005600
2021-12-23,220.410004,222.660004,219.669998,221.330002,219.904999,2241600
2021-12-27,222.179993,224.839996,222.050003,224.690002,223.243347,2345500
2021-12-28,225.410004,229.509995,225.410004,228.320007,226.849991,1805100
